codigo,empresa,tipo,participacao,qtd_teorica,indice
ALOS3,ALLOS,ON      NM,0.532,478558715.0,IBOV
ABEV3,AMBEV S/A,ON,2.736,4273841357.0,IBOV
ASAI3,ASSAI,ON      NM,0.477,1338623499.0,IBOV
AURE3,AUREN,ON      NM,0.143,317799925.0,IBOV
AXIA3,AXIA ENERGIA,ON      NM,4.681,2156759550.0,IBOV
AZZA3,AZZAS 2154,ON      NM,0.071,109571260.0,IBOV
B3SA3,B3,ON      NM,3.14,4997059816.0,IBOV
BBSE3,BBSEGURIDADE,ON      NM,1.038,616248544.0,IBOV
BBDC3,BRADESCO,ON  EJS N1,0.985,1548223583.0,IBOV
BBDC4,BRADESCO,PN  EJS N1,3.933,5392761254.0,IBOV
BRAP4,BRADESPAR,PN      N1,0.223,250914708.0,IBOV
BBAS3,BRASIL,ON      NM,2.418,2842496541.0,IBOV
BRKM5,BRASKEM,PNA     N1,0.063,265709734.0,IBOV
BRAV3,BRAVA,ON      NM,0.273,346772300.0,IBOV
BPAC11,BTGP BANCO,UNT     N2,2.742,1194624560.0,IBOV
CXSE3,CAIXA SEGURI,ON  ED  NM,0.472,600000000.0,IBOV
CEAB3,CEA MODAS,ON      NM,0.077,204964309.0,IBOV
CMIG4,CEMIG,PN      N1,0.866,1904057894.0,IBOV
COGN3,COGNA ON,ON  ATZ NM,0.172,1915914094.0,IBOV
CSMG3,COPASA,ON      NM,0.926,359581776.0,IBOV
CPLE3,COPEL,ON      NM,1.783,2969406694.0,IBOV
CSAN3,COSAN,ON      NM,0.354,2242671999.0,IBOV
CPFE3,CPFL ENERGIA,ON      NM,0.35,187732538.0,IBOV
CMIN3,CSNMINERACAO,ON      N2,0.392,1646519336.0,IBOV
CURY3,CURY S/A,ON      NM,0.208,160988231.0,IBOV
CYRE3,CYRELA REALT,ON      NM,0.246,281609283.0,IBOV
DIRR3,DIRECIONAL,ON      NM,0.156,327091595.0,IBOV
EMBJ3,EMBRAER,ON      NM,2.675,711833141.0,IBOV
ENGI11,ENERGISA,UNT     N2,0.661,325503046.0,IBOV
ENEV3,ENEVA,ON      NM,2.086,1913352180.0,IBOV
EGIE3,ENGIE BRASIL,ON      NM,0.534,443065303.0,IBOV
EQTL3,EQUATORIAL,ON      NM,1.976,1247728993.0,IBOV
FLRY3,FLEURY,ON      NM,0.314,447150822.0,IBOV
GGBR4,GERDAU,PN      N1,1.338,1258208269.0,IBOV
GOAU4,GERDAU MET,PN      N1,0.387,830837767.0,IBOV
HAPV3,HAPVIDA,ON      NM,0.122,271662290.0,IBOV
HYPE3,HYPERA,ON      NM,0.278,321083946.0,IBOV
IGTI11,IGUATEMI S.A,UNT     N1,0.208,205800982.0,IBOV
ISAE4,ISA ENERGIA,PN      N1,0.496,460013216.0,IBOV
ITSA4,ITAUSA,PN      N1,3.313,5970738360.0,IBOV
ITUB4,ITAUUNIBANCO,PN  EJ  N1,8.649,5050269111.0,IBOV
KLBN11,KLABIN S/A,UNT     N2,0.606,804572623.0,IBOV
RENT3,LOCALIZA,ON      NM,1.55,978479038.0,IBOV
LREN3,LOJAS RENNER,ON      NM,0.543,982593716.0,IBOV
MGLU3,MAGAZ LUIZA,ON      NM,0.072,373155063.0,IBOV
POMO4,MARCOPOLO,PN      N2,0.137,728266241.0,IBOV
MBRF3,MARFRIG,ON  ATZ NM,0.516,761175338.0,IBOV
BEEF3,MINERVA,ON      NM,0.066,454804863.0,IBOV
MOTV3,MOTIVA SA,ON      NM,0.606,1002196725.0,IBOV
MRVE3,MRV,ON      NM,0.071,374681353.0,IBOV
MULT3,MULTIPLAN,ON      N2,0.371,320022221.0,IBOV
NATU3,NATURA,ON      NM,0.281,838359453.0,IBOV
PETR3,PETROBRAS,ON      N2,4.264,2237877167.0,IBOV
PETR4,PETROBRAS,PN      N2,7.474,4410960450.0,IBOV
RECV3,PETRORECSA,ON      NM,0.112,274624898.0,IBOV
PSSA3,PORTO SEGURO,ON      NM,0.386,178825403.0,IBOV
PRIO3,PRIO,ON      NM,1.812,757265605.0,IBOV
RADL3,RAIADROGASIL,ON      NM,1.091,1313915830.0,IBOV
RDOR3,REDE D OR,ON      NM,1.519,1091469308.0,IBOV
RAIL3,RUMO S.A.,ON      NM,0.69,1221155293.0,IBOV
SBSP3,SABESP,ON      NM,3.215,2870627990.0,IBOV
SANB11,SANTANDER BR,UNT,0.429,360347199.0,IBOV
CSNA3,SID NACIONAL,ON,0.144,727975012.0,IBOV
SLCE3,SLC AGRICOLA,ON      NM,0.12,220403658.0,IBOV
SMFT3,SMART FIT,ON      NM,0.449,556651316.0,IBOV
SUZB3,SUZANO S.A.,ON      NM,1.061,612918471.0,IBOV
TAEE11,TAESA,UNT     N2,0.354,218568234.0,IBOV
VIVT3,TELEF BRASIL,ON  EJ,0.892,707125712.0,IBOV
TIMS3,TIM,ON      NM,0.587,777451080.0,IBOV
TOTS3,TOTVS,ON      NM,0.702,533997411.0,IBOV
UGPA3,ULTRAPAR,ON      NM,1.399,1067870496.0,IBOV
USIM5,USIMINAS,PNA     N1,0.156,518256757.0,IBOV
VALE3,VALE,ON      NM,10.953,3535764048.0,IBOV
VAMO3,VAMOS,ON      NM,0.06,448052066.0,IBOV
VBBR3,VIBRA,ON      NM,1.69,1192004780.0,IBOV
VIVA3,VIVARA S.A.,ON      NM,0.111,123698325.0,IBOV
WEGE3,WEG,ON      NM,2.93,1485954732.0,IBOV
YDUQ3,YDUQS PART,ON      NM,0.087,261365845.0,IBOV
ALOS3,ALLOS,ON      NM,0.489,478558715.0,IBXX
ABEV3,AMBEV S/A,ON,2.519,4273841357.0,IBXX
ANIM3,ANIMA,ON      NM,0.021,256720485.0,IBXX
ASAI3,ASSAI,ON      NM,0.44,1338623499.0,IBXX
AURE3,AUREN,ON      NM,0.132,317799925.0,IBXX
AXIA3,AXIA ENERGIA,ON      NM,4.31,2156759550.0,IBXX
AZZA3,AZZAS 2154,ON      NM,0.065,109571260.0,IBXX
B3SA3,B3,ON      NM,2.891,4997059816.0,IBXX
BBSE3,BBSEGURIDADE,ON      NM,0.955,616248544.0,IBXX
BBDC3,BRADESCO,ON  EJS N1,0.907,1548223583.0,IBXX
BBDC4,BRADESCO,PN  EJS N1,3.622,5392761254.0,IBXX
BRAP4,BRADESPAR,PN      N1,0.205,250914708.0,IBXX
SAUD3,BRADSAUDE,ON      NM,0.136,251735971.0,IBXX
BBAS3,BRASIL,ON      NM,2.226,2842496541.0,IBXX
BRKM5,BRASKEM,PNA     N1,0.058,265709734.0,IBXX
BRAV3,BRAVA,ON      NM,0.251,346772300.0,IBXX
BPAC11,BTGP BANCO,UNT     N2,2.525,1194624560.0,IBXX
CXSE3,CAIXA SEGURI,ON  ED  NM,0.434,600000000.0,IBXX
CBAV3,CBA,ON      NM,0.085,204441277.0,IBXX
CEAB3,CEA MODAS,ON      NM,0.071,204964309.0,IBXX
CMIG4,CEMIG,PN      N1,0.797,1904057894.0,IBXX
COGN3,COGNA ON,ON  ATZ NM,0.158,1915914094.0,IBXX
CSMG3,COPASA,ON      NM,0.853,359581776.0,IBXX
CPLE3,COPEL,ON      NM,1.642,2969406694.0,IBXX
CSAN3,COSAN,ON      NM,0.326,2242671999.0,IBXX
CPFE3,CPFL ENERGIA,ON      NM,0.322,187732538.0,IBXX
CMIN3,CSNMINERACAO,ON      N2,0.361,1646519336.0,IBXX
CURY3,CURY S/A,ON      NM,0.192,160988231.0,IBXX
CVCB3,CVC BRASIL,ON      NM,0.024,408009727.0,IBXX
CYRE3,CYRELA REALT,ON      NM,0.227,281609283.0,IBXX
DIRR3,DIRECIONAL,ON      NM,0.144,327091595.0,IBXX
ECOR3,ECORODOVIAS,ON      NM,0.088,328954615.0,IBXX
