codigo,empresa,indices,origem,motivo_saida,sucessor
ABCB4,ABC BRASIL,IBRA|IGCX|SMLL,indice_vigente,,
ABEV3,AMBEV S/A,IBOV|IBRA|IBXX,indice_vigente,,
AERI3,AERIS,IGCX,indice_vigente,,
AGRO3,BRASILAGRO,IGCX,indice_vigente,,
ALLD3,ALLIED,IGCX,indice_vigente,,
ALOS3,ALLOS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
ALPA3,ALPARGATAS,IGCX,indice_vigente,,
ALPA4,ALPARGATAS,IBRA|IGCX|SMLL,indice_vigente,,
ALPK3,ESTAPAR,IGCX,indice_vigente,,
ALUP11,ALUPAR,IBRA|IGCX|SMLL,indice_vigente,,
AMOB3,AUTOMOB,IGCX,indice_vigente,,
ANIM3,ANIMA,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
ARML3,ARMAC,IBRA|IGCX|SMLL,indice_vigente,,
ASAI3,ASSAI,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
AUAU3,PETZCOBASI,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
AURE3,AUREN,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
AXIA3,AXIA ENERGIA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
AZZA3,AZZAS 2154,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
B3SA3,B3,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
BBAS3,BRASIL,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
BBDC3,BRADESCO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
BBDC4,BRADESCO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
BBSE3,BBSEGURIDADE,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
BEEF3,MINERVA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
BHIA3,CASAS BAHIA,IBRA|IGCX|SMLL,indice_vigente,,
BLAU3,BLAU,IBRA|IGCX|SMLL,indice_vigente,,
BMEB3,MERCANTIL,IGCX,indice_vigente,,
BMEB4,MERCANTIL,IGCX,indice_vigente,,
