codigo,empresa,indices,origem,motivo_saida,sucessor,n_obs,inicio,fim,disponivel
ABCB4,ABC BRASIL,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ABEV3,AMBEV S/A,IBOV|IBRA|IBXX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
AERI3,AERIS,IGCX,indice_vigente,,,1426,2020-11-12,2026-08-05,True
AGRO3,BRASILAGRO,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ALLD3,ALLIED,IGCX,indice_vigente,,,1328,2021-04-12,2026-08-05,True
ALOS3,ALLOS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3853,2011-02-03,2026-08-05,True
ALPA3,ALPARGATAS,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ALPA4,ALPARGATAS,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ALPK3,ESTAPAR,IGCX,indice_vigente,,,1547,2020-05-21,2026-08-05,True
ALUP11,ALUPAR,IBRA|IGCX|SMLL,indice_vigente,,,3305,2013-04-24,2026-08-05,True
AMAR3,Marisa Lojas,,candidato_historico,reestruturação,,3875,2011-01-03,2026-08-05,True
AMOB3,AUTOMOB,IGCX,indice_vigente,,,407,2024-12-16,2026-08-05,True
ANIM3,ANIMA,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3175,2013-10-28,2026-08-05,True
ARML3,ARMAC,IBRA|IGCX|SMLL,indice_vigente,,,1253,2021-07-29,2026-08-05,True
ASAI3,ASSAI,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1357,2021-03-01,2026-08-05,True
AUAU3,PETZCOBASI,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,147,2026-01-05,2026-08-05,True
AURE3,AUREN,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1089,2022-03-28,2026-08-05,True
AXIA3,AXIA ENERGIA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
AZZA3,AZZAS 2154,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3854,2011-02-02,2026-08-05,True
B3SA3,B3,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3873,2011-01-03,2026-08-05,True
BBAS3,BRASIL,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BBDC3,BRADESCO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BBDC4,BRADESCO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BBSE3,BBSEGURIDADE,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3302,2013-04-29,2026-08-05,True
BEEF3,MINERVA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BHIA3,CASAS BAHIA,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BLAU3,BLAU,IBRA|IGCX|SMLL,indice_vigente,,,1323,2021-04-19,2026-08-05,True
BMEB3,MERCANTIL,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BMEB4,MERCANTIL,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BMGB4,BANCO BMG,IGCX,indice_vigente,,,1662,2019-11-29,2026-08-05,True
BMOB3,BEMOBI TECH,IBRA|IGCX|SMLL,indice_vigente,,,1367,2021-02-11,2026-08-05,True
BPAC11,BTGP BANCO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,2352,2017-02-24,2026-08-05,True
BRAP3,BRADESPAR,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BRAP4,BRADESPAR,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BRAV3,BRAVA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1426,2020-11-12,2026-08-05,True
BRBI11,BR PARTNERS,IBRA|IGCX|SMLL,indice_vigente,,,1264,2021-07-14,2026-08-05,True
BRKM3,BRASKEM,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BRKM5,BRASKEM,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BRPR3,BR Properties,,candidato_historico,venda de ativos e deslistagem (2022),,3377,2011-01-03,2024-08-06,True
BRSR3,BANRISUL,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BRSR6,BANRISUL,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
BRST3,BRISANET,IGCX,indice_vigente,,,388,2025-01-16,2026-08-05,True
CAML3,CAMIL,IBRA|IGCX|SMLL,indice_vigente,,,2203,2017-09-28,2026-08-05,True
CASH3,MELIUZ,IBRA|IGCX|SMLL,indice_vigente,,,1429,2020-11-09,2026-08-05,True
CBAV3,CBA,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1262,2021-07-16,2026-08-05,True
CCTY3,RDVC CITY,IGCX,indice_vigente,,,319,2025-04-29,2026-08-05,True
CEAB3,CEA MODAS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1678,2019-11-05,2026-08-05,True
CEDO4,CEDRO,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
CGAS5,Comgás,,candidato_historico,saiu do índice,,3875,2011-01-03,2026-08-05,True
CLSC4,CELESC,IGCX,indice_vigente,,,3612,2012-01-20,2026-08-05,True
CMIG3,CEMIG,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
CMIG4,CEMIG,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
