ticker,grupo,n_obs,inicio,fim,liquidez_mediana,empresa,origem,motivo_saida,sucessor,meses_no_universo,serie_encerrada
PETR4,PETR,3875,2011-01-03,2026-08-05,942958948.4149933,PETROBRAS,indice_vigente,,,184,False
VALE3,VALE,3875,2011-01-03,2026-08-05,738596681.3381195,VALE,indice_vigente,,,184,False
ITUB4,ITUB,3875,2011-01-03,2026-08-05,558565566.9404907,ITAUUNIBANCO,indice_vigente,,,184,False
BBDC4,BBDC,3875,2011-01-03,2026-08-05,385779856.41407776,BRADESCO,indice_vigente,,,184,False
BBAS3,BBAS,3875,2011-01-03,2026-08-05,320578281.0710907,BRASIL,indice_vigente,,,184,False
B3SA3,B3SA3,3873,2011-01-03,2026-08-05,271851652.4225235,B3,indice_vigente,,,184,False
ABEV3,ABEV,3875,2011-01-03,2026-08-05,255119850.0,AMBEV S/A,indice_vigente,,,184,False
PETR3,PETR,3875,2011-01-03,2026-08-05,248140547.57728577,PETROBRAS,indice_vigente,,,0,False
BPAC11,BPAC,2352,2017-02-24,2026-08-05,212125361.10153198,BTGP BANCO,indice_vigente,,,98,False
ITSA4,ITSA,3875,2011-01-03,2026-08-05,179360154.1847849,ITAUSA,indice_vigente,,,184,False
VBBR3,VBBR,2087,2018-03-14,2026-08-05,167971912.3030672,VIBRA,indice_vigente,,,98,False
HAPV3,HAPV,2057,2018-04-26,2026-08-05,162362379.86412048,HAPVIDA,indice_vigente,,,97,False
GGBR4,GGBR,3875,2011-01-03,2026-08-05,150507040.375597,GERDAU,indice_vigente,,,184,False
RAIL3,RAIL,2823,2015-04-02,2026-08-05,148252084.62753296,RUMO S.A.,indice_vigente,,,134,False
RDOR3,RDOR,1404,2020-12-15,2026-08-05,146753913.58594894,REDE D OR,indice_vigente,,,65,False
SUZB3,SUZB,3875,2011-01-03,2026-08-05,141104447.5124359,SUZANO S.A.,indice_vigente,,,104,False
MGLU3,MGLU,3795,2011-05-02,2026-08-05,140271973.84311676,MAGAZ LUIZA,indice_vigente,,,178,False
ASAI3,ASAI,1357,2021-03-01,2026-08-05,140207081.62403107,ASSAI,indice_vigente,,,63,False
BRAV3,BRAV,1426,2020-11-12,2026-08-05,134224189.12407303,BRAVA,indice_vigente,,,63,False
BBSE3,BBSE,3302,2013-04-29,2026-08-05,126359514.61696625,BBSEGURIDADE,indice_vigente,,,157,False
LREN3,LREN,3875,2011-01-03,2026-08-05,126160237.86549759,LOJAS RENNER,indice_vigente,,,184,False
RENT3,RENT,3875,2011-01-03,2026-08-05,121540436.90772629,LOCALIZA,indice_vigente,,,184,False
COGN3,COGN,3578,2012-03-14,2026-08-05,94382027.81406403,COGNA ON,indice_vigente,,,163,False
CMIG4,CMIG,3875,2011-01-03,2026-08-05,86384385.63365936,CEMIG,indice_vigente,,,184,False
USIM5,USIM,3875,2011-01-03,2026-08-05,86336636.83319092,USIMINAS,indice_vigente,,,184,False
AXIA3,AXIA,3875,2011-01-03,2026-08-05,85911532.30359077,AXIA ENERGIA,indice_vigente,,,184,False
UGPA3,UGPA,3875,2011-01-03,2026-08-05,85239336.59553528,ULTRAPAR,indice_vigente,,,179,False
MOTV3,MOTV,3875,2011-01-03,2026-08-05,85125625.0,MOTIVA SA,indice_vigente,,,184,False
RADL3,RADL,3875,2011-01-03,2026-08-05,84043731.34299088,RAIADROGASIL,indice_vigente,,,184,False
EQTL3,EQTL,3875,2011-01-03,2026-08-05,83509617.38043976,EQUATORIAL,indice_vigente,,,181,False
CSNA3,CSNA,3875,2011-01-03,2026-08-05,80722723.5332489,SID NACIONAL,indice_vigente,,,184,False
KLBN11,KLBN,3118,2014-01-23,2026-08-05,73422329.15772533,KLABIN S/A,indice_vigente,,,148,False
SBSP3,SBSP,3875,2011-01-03,2026-08-05,73354183.99726105,SABESP,indice_vigente,,,184,False
CYRE3,CYRE,3875,2011-01-03,2026-08-05,66159971.36211395,CYRELA REALT,indice_vigente,,,184,False
EMBJ3,EMBJ,3875,2011-01-03,2026-08-05,65942657.88612366,EMBRAER,indice_vigente,,,184,False
CSAN3,CSAN,3875,2011-01-03,2026-08-05,65399543.75305176,COSAN,indice_vigente,,,184,False
HYPE3,HYPE,3875,2011-01-03,2026-08-05,64355957.94010162,HYPERA,indice_vigente,,,184,False
IRBR3,IRBR,2246,2017-07-31,2026-08-05,63031071.26186943,IRBBRASIL RE,indice_vigente,,,99,False
BBDC3,BBDC,3875,2011-01-03,2026-08-05,62519760.528271675,BRADESCO,indice_vigente,,,0,False
GOAU4,GOAU,3875,2011-01-03,2026-08-05,62431044.2851038,GERDAU MET,indice_vigente,,,184,False
MULT3,MULT,3875,2011-01-03,2026-08-05,58917599.3270874,MULTIPLAN,indice_vigente,,,184,False
TIMS3,TIMS,3875,2011-01-03,2026-08-05,55250528.304576874,TIM,indice_vigente,,,184,False
WEGE3,WEGE,3875,2011-01-03,2026-08-05,55182909.78631973,WEG,indice_vigente,,,184,False
IGTI11,IGTI,1175,2021-11-22,2026-08-05,52875972.593688965,IGUATEMI S.A,indice_vigente,,,54,False
MRVE3,MRVE,3875,2011-01-03,2026-08-05,52874039.2525692,MRV,indice_vigente,,,184,False
SANB11,SANB,3875,2011-01-03,2026-08-05,49426096.26922226,SANTANDER BR,indice_vigente,,,184,False
YDUQ3,YDUQ,3875,2011-01-03,2026-08-05,48452675.0,YDUQS PART,indice_vigente,,,176,False
BRAP4,BRAP,3875,2011-01-03,2026-08-05,47789591.778223515,BRADESPAR,indice_vigente,,,184,False
LWSA3,LWSA,1617,2020-02-06,2026-08-05,47073088.85393143,LWSA,indice_vigente,,,48,False
BRKM5,BRKM,3875,2011-01-03,2026-08-05,46125805.20057678,BRASKEM,indice_vigente,,,178,False
NATU3,NATU,2472,2011-01-03,2026-08-05,45475998.20790291,NATURA,indice_vigente,,,112,False
VAMO3,VAMO,1374,2021-02-02,2026-08-05,45245772.296527386,VAMOS,indice_vigente,,,56,False
SMFT3,SMFT,1264,2021-07-14,2026-08-05,44512370.71304321,SMART FIT,indice_vigente,,,38,False
VIVA3,VIVA,1695,2019-10-11,2026-08-05,43965600.0,VIVARA S.A.,indice_vigente,,,50,False
FIBR3,FIBR,1925,2011-01-03,2019-01-02,43580991.217041016,Fibria,candidato_historico,incorporada pela Suzano (2019),,91,True
AURE3,AURE,1089,2022-03-28,2026-08-05,43501161.80276871,AUREN,indice_vigente,,,44,False
CVCB3,CVCB,3147,2013-12-09,2026-08-05,43412200.0,CVC BRASIL,indice_vigente,,,124,False
CXSE3,CXSE,1315,2021-04-30,2026-08-05,39971930.51147461,CAIXA SEGURI,indice_vigente,,,33,False
CMIN3,CMIN,1362,2021-02-22,2026-08-05,39679424.31793213,CSNMINERACAO,indice_vigente,,,50,False
EGIE3,EGIE,3875,2011-01-03,2026-08-05,39182221.23527527,ENGIE BRASIL,indice_vigente,,,184,False
MBRF3,MBRF,3875,2011-01-03,2026-08-05,36419777.59857178,MARFRIG,indice_vigente,,,184,False
RECV3,RECV,1312,2021-05-05,2026-08-05,36391003.53727341,PETRORECSA,indice_vigente,,,44,False
TOTS3,TOTS,3875,2011-01-03,2026-08-05,35407688.03215027,TOTVS,indice_vigente,,,184,False
TAEE11,TAEE,3875,2011-01-03,2026-08-05,34927944.38457489,TAESA,indice_vigente,,,168,False
CPFE3,CPFE,3875,2011-01-03,2026-08-05,34532339.391326904,CPFL ENERGIA,indice_vigente,,,183,False
PRIO3,PRIO,3875,2011-01-03,2026-08-05,30900000.57220459,PRIO,indice_vigente,,,133,False
QUAL3,QUAL,3754,2011-06-29,2026-08-05,30390812.694120407,QUALICORP,indice_vigente,,,133,False
GMAT3,GMAT,1447,2020-10-13,2026-08-05,29954820.782661438,GRUPO MATEUS,indice_vigente,,,24,False
MOVI3,MOVI,2294,2017-05-24,2026-08-05,29670480.487060547,MOVIDA,indice_vigente,,,72,False
GGPS3,GGPS,1317,2021-04-28,2026-08-05,28297606.14733696,GPS,indice_vigente,,,25,False
FLRY3,FLRY,3875,2011-01-03,2026-08-05,28187991.31645775,FLEURY,indice_vigente,,,168,False
SAPR11,SAPR,2140,2017-12-26,2026-08-05,28095255.888843536,SANEPAR,indice_vigente,,,50,False
PSSA3,PSSA,3875,2011-01-03,2026-08-05,27403560.44769287,PORTO SEGURO,indice_vigente,,,182,False
INTB3,INTB,1370,2021-02-08,2026-08-05,27092835.576438904,INTELBRAS,indice_vigente,,,19,False
ECOR3,ECOR,3875,2011-01-03,2026-08-05,25629953.72143936,ECORODOVIAS,indice_vigente,,,148,False
ISAE4,ISAE,3875,2011-01-03,2026-08-05,25472159.147644043,ISA ENERGIA,indice_vigente,,,174,False
CBAV3,CBAV,1262,2021-07-16,2026-08-05,25375320.88303566,CBA,indice_vigente,,,18,False
